benchmark,qubits,gates,mid_meas,run_id,rng_seed,status,time_seconds,note
rqc_q100_g100_m5.py,100,100,5,15,20340266,SUCCESS,1.028371,
rqc_q100_g100_m5.py,100,100,5,16,20340267,SUCCESS,1.033149,
rqc_q100_g100_m5.py,100,100,5,17,20340268,SUCCESS,1.034521,
rqc_q100_g100_m5.py,100,100,5,18,20340269,SUCCESS,1.031911,
rqc_q100_g100_m5.py,100,100,5,19,20340270,SUCCESS,6.241742,
rqc_q100_g100_m5.py,100,100,5,20,20340271,SUCCESS,1.025751,
rqc_q100_g100_m5.py,100,100,5,21,20340272,SUCCESS,1.022358,
rqc_q100_g100_m5.py,100,100,5,22,20340273,SUCCESS,4.291628,
rqc_q100_g100_m5.py,100,100,5,23,20340274,SUCCESS,2.960123,
rqc_q100_g100_m5.py,100,100,5,24,20340275,SUCCESS,1.036929,
rqc_q100_g100_m5.py,100,100,5,25,20340276,SUCCESS,3.052656,
rqc_q100_g100_m5.py,100,100,5,26,20340277,SUCCESS,3.915101,
rqc_q100_g100_m5.py,100,100,5,27,20340278,SUCCESS,1.028503,
rqc_q100_g100_m5.py,100,100,5,28,20340279,SUCCESS,4.186560,
rqc_q100_g100_m5.py,100,100,5,29,20340280,SUCCESS,1.028395,
rqc_q100_g100_m5.py,100,100,5,30,20340281,SUCCESS,5.854570,
rqc_q100_g100_m5.py,100,100,5,31,20340282,SUCCESS,2.959893,
rqc_q100_g100_m5.py,100,100,5,32,20340283,SUCCESS,2.955555,
rqc_q100_g100_m5.py,100,100,5,33,20340284,SUCCESS,5.830179,
rqc_q100_g100_m5.py,100,100,5,34,20340285,SUCCESS,3.885007,
rqc_q100_g100_m5.py,100,100,5,35,20340286,SUCCESS,2.972642,
rqc_q100_g100_m5.py,100,100,5,36,20340287,SUCCESS,1.027920,
rqc_q100_g100_m5.py,100,100,5,37,20340288,SUCCESS,1.030307,
rqc_q100_g100_m5.py,100,100,5,38,20340289,SUCCESS,4.177689,
rqc_q100_g100_m5.py,100,100,5,39,20340290,SUCCESS,3.851086,
rqc_q100_g100_m5.py,100,100,5,40,20340291,SUCCESS,1.031542,
rqc_q100_g100_m5.py,100,100,5,41,20340292,SUCCESS,1.025259,
rqc_q100_g100_m5.py,100,100,5,42,20340293,SUCCESS,1.025719,
rqc_q100_g100_m5.py,100,100,5,43,20340294,SUCCESS,3.042479,
rqc_q100_g100_m5.py,100,100,5,44,20340295,SUCCESS,1.029040,
rqc_q100_g100_m5.py,100,100,5,45,20340296,SUCCESS,1.026903,
rqc_q100_g100_m5.py,100,100,5,46,20340297,SUCCESS,1.028345,
rqc_q100_g100_m5.py,100,100,5,47,20340298,SUCCESS,4.206772,
rqc_q100_g100_m5.py,100,100,5,48,20340299,SUCCESS,1.028191,
rqc_q100_g100_m5.py,100,100,5,49,20340300,SUCCESS,3.057571,
rqc_q100_g100_m5.py,100,100,5,50,20340301,SUCCESS,1.033382,
rqc_q100_g100_m10.py,100,100,10,1,20340302,SUCCESS,2.993627,
rqc_q100_g100_m10.py,100,100,10,2,20340303,SUCCESS,1.052172,
rqc_q100_g100_m10.py,100,100,10,3,20340304,SUCCESS,4.047977,
rqc_q100_g100_m10.py,100,100,10,4,20340305,SUCCESS,1.048557,
rqc_q100_g100_m10.py,100,100,10,5,20340306,SUCCESS,1.042281,
rqc_q100_g100_m10.py,100,100,10,6,20340307,SUCCESS,1.035571,
rqc_q100_g100_m10.py,100,100,10,7,20340308,SUCCESS,1.045941,
rqc_q100_g100_m10.py,100,100,10,8,20340309,SUCCESS,2.983701,
rqc_q100_g100_m10.py,100,100,10,9,20340310,SUCCESS,1.041890,
rqc_q100_g100_m10.py,100,100,10,10,20340311,SUCCESS,1.050632,
rqc_q100_g100_m10.py,100,100,10,11,20340312,SUCCESS,5.248074,
rqc_q100_g100_m10.py,100,100,10,12,20340313,SUCCESS,2.972970,
rqc_q100_g100_m10.py,100,100,10,13,20340314,SUCCESS,1.050363,
rqc_q100_g100_m10.py,100,100,10,14,20340315,SUCCESS,4.055402,
rqc_q100_g100_m10.py,100,100,10,15,20340316,SUCCESS,2.990046,
rqc_q100_g100_m10.py,100,100,10,16,20340317,SUCCESS,2.969297,
rqc_q100_g100_m10.py,100,100,10,17,20340318,SUCCESS,1.043304,
rqc_q100_g100_m10.py,100,100,10,18,20340319,SUCCESS,2.956871,
rqc_q100_g100_m10.py,100,100,10,19,20340320,SUCCESS,1.044923,
rqc_q100_g100_m10.py,100,100,10,20,20340321,SUCCESS,3.013985,
